Year,Month,Category,Region,Units_Sold,Revenue,Profit,Customer_Rating,Ad_Spend
2020,April,Home Decor,North,485,94360.58,25442.39,1.5,174.51
2021,October,Fashion,South,95,14081.4,3457.23,3.5,3975.18
2022,February,Groceries,East,182,13700.5,3985.61,3.4,1929.31
2020,April,Fashion,South,419,81856.23,20726.68,2.8,3706.92
2020,September,Beauty Products,North,469,51810.41,5624.12,2.9,2362.07
2021,March,Home Decor,North,127,13621.99,1581.6,2.8,3412.09
2020,December,Home Decor,North,190,6439.93,1767.44,2.3,799.25
2021,September,Groceries,North,124,5850.86,1739.79,1.6,560.17
2022,December,Books,East,93,2786.24,756.29,1.9,1089.83
2023,February,Books,West,43,7338.19,1452.8,2.2,2668.78
2021,April,Fashion,West,354,6720.94,1747.56,1.4,1422.65
2023,July,Fashion,South,409,4092.73,1218.1,4.6,1329.19
2022,January,Electronics,East,256,5863.97,1574.05,2.2,3327.72
2024,September,Home Decor,North,287,26345.19,6822.97,1.9,4403.11
2022,August,Fashion,West,283,28070.84,5373.32,3.8,4175.27
2023,September,Home Decor,West,384,38287.41,6894.6,4.1,4825.21
2023,September,Groceries,West,220,21045.26,6102.27,1.1,3036.6
2023,September,Electronics,West,49,6759.51,696.32,4.2,2979.79
2024,January,Books,North,113,13522.83,2033.34,1.1,2527.13
2020,February,Home Decor,South,347,46203.45,7359.0,4.3,4540.45
2021,June,Fashion,West,400,22018.29,4825.24,4.9,3201.09
2024,December,Electronics,South,346,41810.49,9999.55,3.9,404.29
2024,June,Electronics,West,111,21734.43,4356.58,1.1,318.91
2020,June,Electronics,East,226,29221.25,7266.31,2.3,4317.71
2021,October,Fashion,West,31,2753.46,361.86,1.5,947.41
2024,December,Books,North,313,51145.35,7860.27,4.0,2856.29
2024,January,Groceries,South,199,4415.14,1166.15,3.2,2962.36
2022,May,Groceries,South,104,9469.76,2598.29,4.4,489.83
2022,November,Groceries,South,493,64152.93,17643.91,3.6,1781.54
2023,July,Beauty Products,West,451,85527.43,24716.61,4.7,792.19
2021,October,Groceries,South,113,19979.99,4489.14,5.0,281.05
2024,December,Groceries,East,260,8203.08,2323.19,3.3,1784.33
2023,April,Groceries,East,379,6301.48,695.66,4.2,3461.11
2020,February,Beauty Products,North,109,8281.69,1947.11,1.7,2195.26
2024,September,Beauty Products,West,497,75536.06,9936.01,4.6,2755.04
2022,June,Beauty Products,North,119,11328.09,1236.26,2.3,1831.44
2024,June,Beauty Products,South,135,25747.65,4005.03,2.6,687.07
2023,February,Home Decor,North,485,70031.97,16859.47,4.5,3807.15
2021,July,Electronics,West,384,15346.9,4457.36,4.1,3220.82
2020,June,Home Decor,North,273,28686.07,6312.85,3.0,4811.97
2023,February,Electronics,South,75,4110.48,1199.2,3.4,378.87
2022,June,Electronics,South,111,3250.98,798.13,1.0,2175.39
2020,March,Home Decor,East,342,11131.22,2349.0,4.8,2606.19
2023,June,Electronics,North,254,11575.18,2697.98,3.4,4037.86
2022,June,Home Decor,West,245,26227.84,3440.56,5.0,2238.59
2020,April,Fashion,West,366,68801.06,9363.4,2.9,3475.15
2022,October,Electronics,North,484,82115.5,22629.41,4.0,1814.61
2023,September,Groceries,East,110,15483.49,3905.42,2.9,494.47
2022,November,Fashion,West,66,4752.79,631.91,2.3,4472.69
2020,August,Books,East,107,19099.15,4746.81,4.4,4777.28
2021,March,Home Decor,East,458,42497.96,12590.67,4.0,2995.7
2024,August,Electronics,West,387,23224.58,6461.36,1.5,965.96
2021,October,Books,South,195,32072.6,3722.84,4.5,1902.23
2023,January,Electronics,East,267,11898.21,2393.68,1.6,1717.5
2021,October,Electronics,West,140,8799.09,939.77,4.5,3962.33
2023,March,Books,East,380,15520.9,2343.03,4.6,2837.74
2020,May,Books,East,418,30818.5,7804.1,3.4,4735.28
2022,July,Home Decor,South,287,22985.16,3197.43,4.2,1430.33
2024,April,Books,East,412,58443.22,13427.77,3.9,168.07
2022,May,Books,West,193,12166.75,2147.91,4.7,2561.18
